Etext Number,Type,Issued,Title,Language,LoCC,Authors,Opium Keywords,Genres,Themes
15,Text,1991-05-01,"Moby-Dick; or, The Whale",en,PS,"Melville, Herman","['opium', 'paregoric', 'laudanum']","['Fiction', 'Adventure', 'Best Books Ever Listings', 'Literature']","['Sea stories', 'Whaling', 'Whaling ships', 'Psychological fiction', 'Whales', 'Mentally ill', 'Ship captains', 'Adventure stories', 'Ahab, Captain (Fictitious character)']"
16,Text,2008-06-25,Peter Pan,en,PR; PZ,"Barrie, J. M. (James Matthew)",['heroin'],"[""Children's Literature"", 'Fiction', 'Literature', 'Movie Books', 'Science-Fiction & Fantasy', 'Children & Young Adult Reading']","['Never-Never Land (Imaginary place)', 'Pirates', 'Fairies', 'Fantasy literature', 'Peter Pan (Fictitious character)']"
24,Text,2008-06-27,O Pioneers!,en,PS,"Cather, Willa",['poppy'],"['Fiction', 'Literature', 'Culture/Civilization/Society', 'History']","['Swedish Americans', 'Nebraska', 'Farm life', 'Domestic fiction', 'Women immigrants', 'Frontier and pioneer life', 'Siblings', 'Women farmers', 'Women pioneers']"
27,Text,1992-03-01,Far from the Madding Crowd,en,PR,"Hardy, Thomas",['heroin'],"['Fiction', 'Literature', 'Culture/Civilization/Society']","['Farm life', 'Love stories', 'Pastoral fiction', 'Women farmers', 'Wessex (England)', 'Triangles (Interpersonal relations)', 'Didactic fiction']"
33,Text,1992-06-01,The Scarlet Letter,en,PS,"Hawthorne, Nathaniel",['nepenthe'],"['History', 'Harvard Classics', 'Fiction', 'Literature', 'Culture/Civilization/Society', 'Movie Books']","['Boston (Mass.)', 'Puritans', 'Adultery', 'Illegitimate children', 'Psychological fiction', 'Revenge', 'Women immigrants', 'Colonial period, ca. 1600-1775', 'Clergy', 'Married women', 'Triangles (Interpersonal relations)']"
36,Text,2004-10-01,The War of the Worlds,en,PR,"Wells, H. G. (Herbert George)",['black smoke'],"['Science Fiction', 'History', 'Fiction', 'Movie Books', 'Science-Fiction & Fantasy']","['Space warfare', 'War stories', 'Martians', 'Mars (Planet)', 'Imaginary wars and battles', 'Life on other planets']"
44,Text,2008-06-27,The Song of the Lark,en,PS,"Cather, Willa","['opium', 'heroin']","['Fiction', 'Literature', 'Culture/Civilization/Society', 'Opera']","['Swedish Americans', 'Young women', 'Bildungsromans', 'Children of clergy', 'Musical fiction', 'Women singers', 'Colorado', 'Chicago (Ill.)']"
60,Text,2006-03-08,The Scarlet Pimpernel,en,PR,"Orczy, Emmuska Orczy, Baroness",['heroin'],"['History', 'Adventure', 'Fiction', 'Literature', 'Best Books Ever Listings', 'Movie Books']","['Nobility', 'Blakeney, Percy, Sir (Fictitious character)', 'British', 'Revolution, 1789-1799', 'Adventure stories']"
77,Text,1993-08-01,The House of the Seven Gables,en,PS,"Hawthorne, Nathaniel",['heroin'],"['History', 'Fiction', 'Literature', 'Culture/Civilization/Society', 'Best Books Ever Listings']","['Domestic fiction', 'Paranormal fiction', 'Haunted houses', 'Salem (Mass.)']"
78,Text,1993-08-01,Tarzan of the Apes,en,PS,"Burroughs, Edgar Rice",['black smoke'],"['Fiction', 'Adventure', 'Culture/Civilization/Society', 'Movie Books', 'Science-Fiction & Fantasy']","['Fantasy fiction', 'British', 'Wild men', 'Adventure stories', 'Tarzan (Fictitious character)']"
82,Text,2008-06-25,Ivanhoe: A Romance,en,PR,"Scott, Walter","['opium', 'narcotic', 'heroin']","['History', 'Fiction', 'Literature', 'Culture/Civilization/Society', 'Historical Fiction', 'Best Books Ever Listings']","['Ivanhoe, Wilfred of, Sir (Fictitious character)', 'Anglo-Saxons', 'Great Britain', 'Richard I, 1189-1199', 'Love stories', 'Normans', 'England', 'Knights and knighthood', 'Jews', 'Triangles (Interpersonal relations)']"
84,Text,1993-10-01,"Frankenstein; Or, The Modern Prometheus",en,PR,"Shelley, Mary Wollstonecraft",['laudanum'],"['Fiction', 'Science Fiction by Women', 'Literature', 'Culture/Civilization/Society', 'Gender & Sexuality Studies', 'Science-Fiction & Fantasy', 'Gothic Fiction', 'Movie Books', 'Precursors of Science Fiction']","['Horror tales', 'Frankenstein, Victor (Fictitious character)', 'Scientists', 'Monsters', ""Frankenstein's monster (Fictitious character)""]"
91,Text,2004-09-14,Tom Sawyer Abroad,en,PS,"Twain, Mark",['black smoke'],"['Fiction', 'Literature', 'Travel & Geography']","['Sawyer, Tom (Fictitious character)', 'Foreign countries', 'Balloon ascensions', 'Americans', 'Adventure stories']"
95,Text,2006-01-09,The prisoner of Zenda,en,PR,"Hope, Anthony",['narcotic'],"['History', 'Adventure', 'Fiction', 'Literature', 'Best Books Ever Listings', 'Movie Books', 'Bestsellers, American, 1895-1923']","['Adventure stories', 'Impostors and imposture', 'Foreign countries', 'Political kidnapping', 'British', 'Love stories', 'Kings and rulers']"
98,Text,1994-01-01,A Tale of Two Cities,en,PR,"Dickens, Charles","['narcotic', 'laudanum']","['Fiction', 'Historical Fiction', 'Literature', 'History']","['War stories', '1789-1799', 'London', 'French', '18th century', 'British', 'Paris (France)', 'London (England)', 'England', 'Paris', 'Revolution, 1789-1799', 'Lookalikes', 'Executions and executioners']"
100,Text,1994-01-01,The Complete Works of William Shakespeare,en,PR,"Shakespeare, William",['poppy'],"['Fiction', 'Literature', 'Plays']","['English drama', 'Early modern and Elizabethan, 1500-1600']"
102,Text,2004-09-14,The Tragedy of Pudd'nhead Wilson,en,PS,"Twain, Mark",['heroin'],"['Fiction', 'Literature', 'Culture/Civilization/Society']","['Missouri', 'Impostors and imposture', 'Passing (Identity)', 'Infants switched at birth', 'Race relations', 'Trials (Murder)', 'Legal stories']"
107,Text,1994-02-01,Far from the Madding Crowd,en,PR,"Hardy, Thomas",['heroin'],"['Fiction', 'Literature', 'Culture/Civilization/Society']","['Farm life', 'Love stories', 'Pastoral fiction', 'Women farmers', 'Wessex (England)', 'Triangles (Interpersonal relations)', 'Didactic fiction']"
110,Text,1994-02-01,Tess of the d'Urbervilles: A Pure Woman,en,PR,"Hardy, Thomas","['narcotic', 'heroin']","['Fiction', ""Banned Books from Anne Haight's list"", 'Literature']","['Man-woman relationships', 'Children of the rich', 'Rape victims', 'Poor families', 'Children of clergy', 'Women murderers', 'Pastoral fiction', 'Women household employees', 'Wessex (England)', 'Triangles (Interpersonal relations)', 'Didactic fiction']"
119,Text,2004-06-19,A Tramp Abroad,en,PS,"Twain, Mark","['paregoric', 'heroin']","['Travel & Geography', 'Humour', 'Fiction', 'Culture/Civilization/Society']","['Walking', 'Humorous stories', 'Europe', 'Americans']"
121,Text,1994-04-01,Northanger Abbey,en,PR,"Austen, Jane",['heroin'],"['Fiction', 'Gothic Fiction', 'Culture/Civilization/Society', 'Literature']","['Horror tales', 'Marriage', 'Young women', 'Gentry', 'Economic aspects', 'Books and reading', 'Love stories', 'Appreciation', 'England', 'Satire', 'Social life and customs', '19th century']"
133,Text,2006-03-08,The Damnation of Theron Ware,en,PS,"Frederic, Harold",['opium'],"['Fiction', 'Literature', 'Culture/Civilization/Society', 'Bestsellers, American, 1895-1923']","['Belief and doubt', 'Psychological fiction', 'Methodists', 'Clergy', 'New York (State)']"
134,Text,2006-03-08,"Maria; Or, The Wrongs of Woman",en,PR,"Wollstonecraft, Mary","['soporific', 'laudanum', 'heroin']","['Fiction', 'Literature', 'Gender & Sexuality Studies']","['Women', 'Feminist fiction', 'Autobiographical fiction']"
139,Text,1994-06-01,The Lost World,en,PR,"Doyle, Arthur Conan","['opium', 'narcotic']","['Fiction', 'Science Fiction', 'Literature', 'Science-Fiction & Fantasy']","['Challenger, Professor (Fictitious character)', 'Prehistoric peoples', 'Dinosaurs', 'Fantasy fiction']"
140,Text,2006-03-11,The Jungle,en,PS,"Sinclair, Upton","['black smoke', 'opium', 'morphine']","['Contemporary Reviews', 'History', ""Banned Books from Anne Haight's list"", 'Banned Books List from the American Library Association', 'Fiction', 'Literature', 'Culture/Civilization/Society', 'Bestsellers, American, 1895-1923']","['Meat industry and trade', 'Lithuanian Americans', 'Political fiction', 'Working class', 'Immigrants', 'Chicago (Ill.)', 'Stockyards']"
143,Text,2006-03-11,The Mayor of Casterbridge,en,PR,"Hardy, Thomas",['heroin'],"['Fiction', 'Literature', 'Culture/Civilization/Society']","['Mayors', 'Fathers and daughters', 'Psychological fiction', 'Runaway husbands', 'Atonement', 'England', 'Men', 'Wessex (England)']"
144,Text,2006-01-12,The Voyage Out,en,PR,"Woolf, Virginia",['heroin'],"['Fiction', 'Literature', 'Culture/Civilization/Society']","['Young women', 'Bildungsromans', 'British', 'Love stories', 'Ocean travel', 'Women travelers']"
145,Text,1994-07-01,Middlemarch,en,PR,"Eliot, George","['opium', 'heroin', 'anodyne']","['History', 'Fiction', 'Literature', 'Culture/Civilization/Society', 'Historical Fiction', 'Best Books Ever Listings']","['City and town life', 'Married people', 'Domestic fiction', 'Young women', 'Bildungsromans', 'Love stories', 'England', 'Didactic fiction']"
154,Text,1994-08-01,The Rise of Silas Lapham,en,PS,"Howells, William Dean",['heroin'],"['Contemporary Reviews', 'Literature', 'Culture/Civilization/Society', 'Fiction']","['Boston (Mass.)', 'Psychological fiction', 'Domestic fiction', 'Businessmen', 'Socialites', 'Rich people']"
155,Text,2006-01-12,The Moonstone,en,PR,"Collins, Wilkie","['opium', 'laudanum']","['Detective Fiction', 'Crime/Mystery', 'Fiction', 'Literature', 'Mystery Fiction']","['Police', 'East Indians', 'England', 'Country homes', 'Jewelry theft']"
157,Text,1994-08-01,Daddy-Long-Legs,en,PS,"Webster, Jean",['heroin'],"['School Stories', 'Fiction', 'Teaching & Education', 'Literature', 'Culture/Civilization/Society']","['Young women', 'Schools', 'Bildungsromans', 'Orphans', 'Universities and colleges', 'Philanthropists', 'Love stories', 'Letters', 'Epistolary fiction', 'Boarding schools', 'Women authors', 'Women college students']"
158,Text,1994-08-01,Emma,en,PR,"Austen, Jane",['heroin'],"['Fiction', 'Humour', 'Literature', 'Culture/Civilization/Society']","['Humorous stories', 'Mate selection', 'Fathers and daughters', 'Female friendship', 'Young women', 'Bildungsromans', 'Love stories', 'England']"
159,Text,2004-10-14,The island of Doctor Moreau,en,PR,"Wells, H. G. (Herbert George)",['black smoke'],"['Science Fiction', 'Philosophy & Ethics', 'Fiction', 'Best Books Ever Listings', 'Movie Books', 'Science-Fiction & Fantasy']","['Islands', 'Ethics', 'Animal experimentation', 'Shipwreck survival']"
160,Text,2006-03-11,"The Awakening, and Selected Short Stories",en,PS,"Chopin, Kate","['narcotic', 'heroin']","[""Banned Books from Anne Haight's list"", 'Banned Books List from the American Library Association', 'Fiction', 'Literature', 'Culture/Civilization/Society', 'Gender & Sexuality Studies']","['Adultery', 'Louisiana', 'New Orleans', 'Women', 'Social conditions', 'Social life and customs', 'New Orleans (La.)', 'Self-actualization (Psychology)']"
165,Text,2006-03-12,McTeague: A Story of San Francisco,en,PS,"Norris, Frank",['black smoke'],"['Fiction', 'Literature', 'Culture/Civilization/Society']","['Dentists', 'Avarice', 'Murderers', 'Married people', 'Psychological fiction', 'San Francisco (Calif.)', 'Didactic fiction']"
171,Text,2006-03-12,Charlotte Temple,en,PS,"Rowson, Mrs.",['heroin'],"['Fiction', 'Literature', 'Culture/Civilization/Society']","['Seduction', 'Teenage pregnancy', 'Illegitimate children', 'New York', 'Psychological fiction', 'Teenage girls', 'British', 'Elopement', 'Didactic fiction', 'Betrayal', 'New York (State)', 'Soldiers', 'Runaway teenagers', 'New York (N.Y.)']"
172,Text,1994-10-01,The Haunted Bookshop,en,PS,"Morley, Christopher","['soporific', 'heroin']","['Fiction', 'Literature', 'Crime/Mystery', 'Bibliomania']","['Booksellers and bookselling', 'Mystery and detective stories', 'Brooklyn (New York, N.Y.)']"
173,Text,1994-10-01,The Insidious Dr. Fu Manchu,en,PR,"Rohmer, Sax","['opium', 'narcotic']","['Crime Fiction', 'Literature', 'Crime/Mystery', 'Fiction']","['Fu Manchu, Doctor (Fictitious character)', 'Criminals', 'Detective and mystery stories']"
174,Text,1994-10-01,The Picture of Dorian Gray,en,PR,"Wilde, Oscar","['opium', 'heroin', 'anodyne']","['Philosophy & Ethics', 'Fiction', 'Literature', 'Gothic Fiction', 'Movie Books']","['Victoria, 1837-1901', 'Portraits', 'Supernatural', 'Great Britain', '1800-1950', 'Paranormal fiction', 'Appearance (Philosophy)', 'London (England)', 'Conduct of life', 'Didactic fiction']"
176,Text,2006-03-12,Roderick Hudson,en,PS,"James, Henry",['heroin'],"['Fiction', 'Literature', 'Culture/Civilization/Society']","['Rome (Italy)', 'Americans', 'Man-woman relationships', 'Sculptors']"
177,Text,2006-03-12,The American,en,PS,"James, Henry",['heroin'],"['Fiction', 'Literature', 'Culture/Civilization/Society']","['Culture conflict', 'Psychological fiction', 'Widows', 'Aristocracy (Social class)', 'Separation (Psychology)', 'Paris (France)', 'Love stories', 'Americans', 'Courtship']"
178,Text,2006-03-15,Confidence,en,PS,"James, Henry",['heroin'],"['Fiction', 'Literature', 'Culture/Civilization/Society']","['Male friendship', 'Europe', 'British', 'Americans', 'Man-woman relationships']"
203,Text,2006-01-13,Uncle Tom's Cabin,en,PS,"Stowe, Harriet Beecher",['laudanum'],"['History', 'US Civil War', ""Banned Books from Anne Haight's list"", 'Fiction', 'Culture/Civilization/Society', 'Politics', 'Slavery']","['Plantation life', 'Enslaved persons', 'Political fiction', 'Southern States', 'Fugitive slaves', 'African Americans', 'Master and servant', 'Uncle Tom (Fictitious character)', 'Didactic fiction']"
204,Text,2008-07-09,The innocence of Father Brown,en,PR,"Chesterton, G. K. (Gilbert Keith)",['opium'],"['Fiction', 'Detective Fiction', 'Literature', 'Crime/Mystery']","['Brown, Father (Fictitious character)', 'Catholics', 'Detective and mystery stories, English', 'Clergy', 'England', 'Translations into Finnish']"
205,Text,1995-01-01,"Walden, and On The Duty Of Civil Disobedience",en,PS,"Thoreau, Henry David",['opium'],"['Literature', 'Culture/Civilization/Society', 'Biographies']","['Authors, American', 'Biography', 'Walden Woods (Mass.)', 'Thoreau, Henry David, 1817-1862', 'Wilderness areas', 'Homes and haunts', 'Government, Resistance to', 'Solitude', 'Massachusetts', 'Social life and customs', 'Walden Woods', 'Civil disobedience', '19th century']"
217,Text,2006-01-16,Sons and Lovers,en,PR,"Lawrence, D. H. (David Herbert)",['heroin'],"[""Banned Books from Anne Haight's list"", 'Banned Books List from the American Library Association', 'Fiction', 'Literature', 'Culture/Civilization/Society', 'Best Books Ever Listings']","['Young men', 'Domestic fiction', 'Bildungsromans', 'Working class families', 'England', 'Autobiographical fiction']"
219,Text,2006-01-09,Heart of Darkness,en,PR,"Conrad, Joseph","['black smoke', 'narcotic']","['Fiction', 'Literature', 'Culture/Civilization/Society', 'Best Books Ever Listings', 'Movie Books']","['Psychological fiction', 'Imperialism', 'Degeneration', 'Europeans', 'Trading posts']"
223,Text,1995-02-01,The wisdom of Father Brown,en,PR,"Chesterton, G. K. (Gilbert Keith)",['heroin'],"['Fiction', 'Detective Fiction', 'Literature', 'Crime/Mystery']","['Brown, Father (Fictitious character)', 'Catholics', 'Detective and mystery stories, English', 'Clergy', 'England']"
233,Text,1995-03-01,Sister Carrie: A Novel,en,PS,"Dreiser, Theodore","['opium', 'morphine', 'heroin']","['Fiction', 'Literature', 'Culture/Civilization/Society']","['Young women', 'Mistresses', 'Chicago (Ill.)', 'Didactic fiction', 'New York (N.Y.)']"
236,Text,2006-01-16,The Jungle Book,en,PR,"Kipling, Rudyard",['poppy'],"['Contemporary Reviews', ""Children's Literature"", 'Fiction', 'Literature', 'Culture/Civilization/Society', 'Scouts', 'Movie Books', 'Children & Young Adult Reading']","['Jungle animals', 'Feral children', 'Animals', 'Jungles', 'Mowgli (Fictitious character)', 'Adventure stories, English', '19th century']"
238,Text,2008-07-03,Dear Enemy,en,PZ; PS,"Webster, Jean","['opium', 'heroin']","['Fiction', 'Literature', 'Bestsellers, American, 1895-1923']",['Orphans']
241,Text,2008-07-02,"Clotelle; Or, The Colored Heroine, a tale of the Southern States; Or, The President's Daughter",en,PS,"Brown, William Wells","['black smoke', 'heroin']","['Fiction', 'Literature', 'Culture/Civilization/Society', 'African American Writers']","['African American women', 'Illegitimate children', 'African American families', 'Domestic fiction', 'Enslaved women', 'Jefferson, Thomas, 1743-1826', 'Children of presidents', 'Relations with women']"
242,Text,2008-07-11,My Ántonia,en,PS,"Cather, Willa","['opium', 'poppy', 'heroin']","['Fiction', 'Literature', 'Culture/Civilization/Society']","['Western stories', 'Nebraska', 'Farm life', 'Domestic fiction', 'Women immigrants', 'Frontier and pioneer life', 'Married women', 'Women pioneers', ""Farmers' spouses"", 'Czech Americans', 'Friendship']"
244,Text,1995-04-01,A Study in Scarlet,en,PR,"Doyle, Arthur Conan","['opium', 'narcotic']","['Fiction', 'Detective Fiction', 'Literature', 'Crime/Mystery']","['Holmes, Sherlock (Fictitious character)', 'Private investigators', 'Detective and mystery stories', 'England']"
245,Text,2004-07-10,Life on the Mississippi,en,PS,"Twain, Mark","['black smoke', 'morphine']","['History', 'Literature', 'Culture/Civilization/Society', 'Biographies', 'Travel & Geography']","['Authors, American', 'Biography', 'Description and travel', 'Twain, Mark, 1835-1910', 'Mississippi River Valley', 'Mississippi River', 'Social life and customs', 'Pilots and pilotage', '19th century']"
258,Text,2008-06-29,Poems by Adam Lindsay Gordon,en,PR,"Gordon, Adam Lindsay","['black smoke', 'nepenthe', 'poppy', 'anodyne']","['Literature', 'Culture/Civilization/Society', 'Poetry']","['Gordon, Adam Lindsay, 1833-1870']"
261,Text,2008-07-03,A Dome of Many-Coloured Glass,en,PS,"Lowell, Amy",['poppy'],"['Literature', 'Culture/Civilization/Society', 'Poetry']",['American poetry']
262,Text,1995-05-01,The Collected Poems of Rupert Brooke,en,PR,"Brooke, Rupert",['poppy'],"['Literature', 'Biographies', 'Poetry']","['20th century', 'English poetry', 'Poets, English', 'Biography', 'Brooke, Rupert, 1887-1915']"
268,Text,2008-07-11,The Octopus : A Story of California,en,PS,"Norris, Frank",['opium'],"['Fiction', 'Literature', 'Culture/Civilization/Society', 'History']","['Railroad stories', 'San Joaquin Valley (Calif.)', 'Wheat farmers', 'Farm life', 'Farmers', 'California', 'Mussel Slough Tragedy, 1880', 'Didactic fiction']"
283,Text,1995-06-01,The Reef,en,PS,"Wharton, Edith","['heroin', 'anodyne']","['Fiction', 'Literature', 'Culture/Civilization/Society']","['Domestic fiction', 'Love stories', 'Man-woman relationships', 'Americans']"
284,Text,1995-06-01,The House of Mirth,en,PS,"Wharton, Edith","['soporific', 'narcotic', 'heroin']","['Fiction', 'Literature', 'Culture/Civilization/Society', 'Bestsellers, American, 1895-1923']","['New York (N.Y.)', 'Single women', 'Social classes', 'Psychological fiction']"
286,Text,1995-06-01,Laddie: A True Blue Story,en,PS,"Stratton-Porter, Gene",['morphine'],"['Fiction', 'Literature', 'Culture/Civilization/Society', 'Bestsellers, American, 1895-1923']","['Indiana', 'Didactic fiction']"
287,Text,2008-06-29,Remember the Alamo,en,PZ; PS,"Barr, Amelia E.",['heroin'],"['Fiction', 'History']","['Western stories', 'Siege, 1836', 'Texas', 'Revolution, 1835-1836', 'War stories', 'Alamo (San Antonio, Tex.)']"
288,Text,1995-07-01,The Certain Hour (Dizain des Poëtes),en,PS,"Cabell, James Branch","['narcotic', 'laudanum', 'heroin']","['Fiction', 'Literature', 'Fantasy', 'Science-Fiction & Fantasy']",['Fantasy fiction']
290,Text,1995-07-01,"The Stark Munro Letters
Being series of twelve letters written by J. Stark Munro, M.B., to his friend and former fellow-student, Herbert Swanborough, of Lowell, Massachusetts, during the years 1881-1884",en,PR,"Doyle, Arthur Conan","['opium', 'narcotic', 'heroin']","['Fiction', 'Literature']",['Epistolary fiction']
292,Text,2008-06-29,"Beauty and the Beast, and Tales of Home",en,PS,"Taylor, Bayard",['heroin'],"['Fiction', 'Literature', 'Culture/Civilization/Society']","['Social life and customs', '19th century']"
293,Text,2006-03-15,Paul Prescott's Charge,en,PZ; PS,"Alger, Horatio, Jr.",['soporific'],"['Fiction', 'History', 'Children & Young Adult Reading', ""Children's Fiction""]","['Orphans', '19th century', 'Runaway teenagers', 'Conduct of life', 'New York (N.Y.)']"
294,Text,1995-07-01,"The Captain of the Polestar, and Other Tales",en,PR,"Doyle, Arthur Conan","['opium', 'laudanum', 'heroin']","['Fiction', 'Literature', 'Culture/Civilization/Society']","['Short stories, English', 'Social life and customs', 'Great Britain', '19th century']"
301,Text,1995-07-01,The Ballad of Reading Gaol,en,PR,"Wilde, Oscar",['anodyne'],"['Literature', 'Poetry']","['Imprisonment', 'Prisoners', 'Prisons']"
306,Text,1995-08-01,The Early Short Fiction of Edith Wharton — Part 2,en,PS,"Wharton, Edith",['heroin'],"['Fiction', 'Literature']","['Short stories, American']"
